,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
122,15,México,Cuautitlán,,,M09.01,Valle de México,176544,15024,48858.0,75836,140059,178847,99.17863027777778,19.665061388888887,024,Cuautitlán
123,15,México,Cuautitlán Izcalli,,,M09.01,Valle de México,576197,15121,326750.0,453298,511675,555163,99.20928611111111,19.656995555555554,121,Cuautitlán Izcalli
124,15,México,Almoloya del Río,,,M15.01,Tianguistenco,13364,15006,6777.0,8873,10886,12694,99.48884166666667,19.159386388888887,006,Almoloya del Río
125,15,México,Ocoyoacac,,,M15.02,Toluca,73207,15062,37395.0,49643,61805,72103,99.45569527777778,19.269280833333333,062,Ocoyoacac
126,15,México,Xonacatlán,,,M15.02,Toluca,51509,15115,28837.0,41402,46331,54633,99.53039583333333,19.404419166666667,115,Xonacatlán
127,15,México,Temascalapa,,,M09.01,Valle de México,41389,15084,19099.0,29307,35987,43593,98.90083222222223,19.827857777777776,084,Temascalapa
128,15,México,San Antonio la Isla,,,M15.02,Toluca,31835,15073,7321.0,10321,22152,31962,99.56933583333333,19.164099444444442,073,San Antonio la Isla
129,15,México,Metepec,,,M15.02,Toluca,242804,15054,140268.0,194463,214162,242307,99.60449166666666,19.25242,054,Metepec
130,15,México,Xalatlaco,,,M15.01,Tianguistenco,34827,15043,14047.0,19182,26865,30687,99.41373611111112,19.18438666666667,043,Xalatlaco
131,15,México,Apaxco,,,M09.01,Valle de México,31547,15010,18500.0,23734,27521,31898,99.17416277777778,19.975324722222222,010,Apaxco
132,15,México,Tepetlixpa,,,M09.01,Valle de México,21125,15094,12687.0,16863,18327,20500,98.81970805555555,19.029515,094,Tepetlixpa
133,15,México,Juchitepec,,,M09.01,Valle de México,27552,15050,14270.0,18968,23497,27116,98.88091555555555,19.101911944444446,050,Juchitepec
134,15,México,Texcalyacac,,,M15.01,Tianguistenco,6004,15098,2961.0,3997,5111,5736,99.50306916666666,19.1322275,098,Texcalyacac
135,15,México,Atenco,,,M09.01,Valle de México,71716,15011,21219.0,34435,56243,75489,98.9133475,19.559339166666668,011,Atenco
136,15,México,Coacalco de Berriozábal,,,M09.01,Valle de México,304640,15020,152082.0,252555,278064,293444,99.10437722222221,19.62929888888889,020,Coacalco de Berriozábal
137,15,México,Nextlalpan,,,M09.01,Valle de México,47636,15059,10840.0,19532,31691,57082,99.0803375,19.73986638888889,059,Nextlalpan
138,15,México,Mexicaltzingo,,,M15.02,Toluca,14053,15055,7248.0,9225,11712,13807,99.58685388888888,19.211109444444443,055,Mexicaltzingo
139,15,México,Coyotepec,,,M09.01,Valle de México,42901,15023,24451.0,35358,39030,40885,99.20798027777778,19.7755075,023,Coyotepec
140,15,México,Chiautla,,,M09.01,Valle de México,31308,15028,14764.0,19620,26191,30045,98.88134888888888,19.548651944444448,028,Chiautla
141,15,México,Ecatepec de Morelos,,,M09.01,Valle de México,1818939,15033,1218135.0,1622697,1656107,1645352,99.04915861111111,19.599069444444442,033,Ecatepec de Morelos
142,15,México,Ayapango,,,M09.01,Valle de México,11665,15017,4239.0,5947,8864,10053,98.80250555555556,19.127221388888888,017,Ayapango
143,15,México,Tepetlaoxtoc,,,M09.01,Valle de México,32277,15093,16120.0,22729,27944,32564,98.81971861111111,19.57336527777778,093,Tepetlaoxtoc
144,15,México,Temamatla,,,M09.01,Valle de México,13100,15083,5366.0,8840,11206,14130,98.86990222222222,19.202740555555554,083,Temamatla
145,15,México,Chimalhuacán,,,M09.01,Valle de México,742659,15031,242317.0,490772,614453,705193,98.94529916666667,19.4169075,031,Chimalhuacán
146,15,México,La Paz,,,M09.01,Valle de México,295395,15070,134782.0,212694,253845,304088,98.97660166666667,19.358386944444447,070,La Paz
147,15,México,Tequixquiac,,,M09.01,Valle de México,39195,15096,20784.0,28067,33907,39489,99.14891305555557,19.910276666666665,096,Tequixquiac
148,15,México,Tultitlán,,,M09.01,Valle de México,616255,15109,246464.0,432141,486998,516341,99.169195,19.647513333333332,109,Tultitlán
149,15,México,Chapultepec,,,M15.02,Toluca,13087,15027,3863.0,5735,9676,12772,99.56187277777778,19.2011625,027,Chapultepec
150,15,México,Nopaltepec,,,M09.01,Valle de México,10132,15061,5234.0,7512,8895,10351,98.70954416666667,19.77879833333333,061,Nopaltepec
151,15,México,Nezahualcóyotl,,,M09.01,Valle de México,1208212,15058,1256115.0,1225972,1110565,1077208,99.0182,19.408763333333333,058,Nezahualcóyotl
152,15,México,Cocotitlán,,,M09.01,Valle de México,13339,15022,8068.0,10205,12142,15107,98.86195194444444,19.230855555555554,022,Cocotitlán
153,15,México,Ozumba,,,M09.01,Valle de México,32120,15068,18052.0,23592,27207,30785,98.79538944444444,19.039176944444446,068,Ozumba
154,15,México,Tecámac,,,M09.01,Valle de México,472126,15081,123218.0,172813,364579,547503,98.96714250000001,19.71020722222222,081,Tecámac
155,15,México,Tenango del Aire,,,M09.01,Valle de México,12452,15089,6207.0,8486,10578,11359,98.86129555555554,19.157003333333332,089,Tenango del Aire
156,15,México,Huixquilucan,,,M09.01,Valle de México,280775,15037,131926.0,193468,242167,284965,99.35169166666667,19.36018,037,Huixquilucan
157,15,México,Capulhuac,,,M15.01,Tianguistenco,39802,15019,21258.0,28808,34101,36921,99.46440833333334,19.193123333333332,019,Capulhuac
158,15,México,Atizapán de Zaragoza,,,M09.01,Valle de México,555364,15013,315192.0,467886,489937,523674,99.23504083333333,19.54317055555556,013,Atizapán de Zaragoza
159,15,México,Otumba,,,M09.01,Valle de México,40556,15065,21834.0,29097,34232,36331,98.75769416666667,19.699853611111113,065,Otumba
